開講所属,科目番号,開講区分,曜日・時間,開講科目名,年次,授業の目的と概要,履修条件・受講条件
基礎工学部,90180,	秋～冬学期,"	木2,木3",	情報科学演習Ｄ,"3,4年",比較的簡単な計算機言語の処理プログラムを設計，作成することにより，言語処理系の基本的な機能を理解する．具体的には，Pascalのサブセット言語で記述されたプログラムを，アセンブリ言語CASL2で記述されたプログラムに翻訳（変換）するコンパイラを作成する．,「情報科学基礎」で学習するCASL2の知識，及び「言語処理工学Ａ」で学習する計算機言語処理系の知識が必要である．
基礎工学部,90185,	秋～冬学期,"月4,月5",情報科学実験Ｃ,"3,4年",Computer Aided Design (CAD) システムを活用して，演算器・制御回路を設計し，計算機を実装する．実験を通して，論理設計・計算機アーキテクチャ・機械語プログラムの知識を活かした実践的なCPUの設計方法を学ぶ．具体的にはハードウェア記述言語による論理回路設計を行ない，Field Programmable Gate Array (FPGA) ボード上にこれらの回路を実装し，動作を検証する．,「論理設計」で学ぶ同期式順序回路の知識，および「計算機アーキテクチャ」で学ぶアセンブリ言語のプログラミング技能と演算器・制御回路の知識が必須である．また，「情報科学実験A・B」を履修し、ハードウェア設計に慣れておくこと．
基礎工学部,90046,	秋～冬学期,火4,データベース,"3,4年",データベースとは、実世界から収集されたデータを、複数のアプリケーションから共有できるよう統合したものであり、現在、最も広く使われているリレーショナルデータベースを中心に、データベースに関する基本的な概念を講義するとともに、データベースの操作言語として標準的なＳＱＬの実習も行なうことで、データベースの基本的な概念と基本的なデータ操作方法について理解することを目的とする。,"計算機科学コース、および、ソフトウェア科学コース以外の学生の履修は原則認めない。
また、本科目は授業時間中に数回、演習室での演習を行うため、予め「プログラミングC」、「プログラミングD」または「演習C」を受講することを強く推奨する。"
基礎工学部,90464,	秋～冬学期,火5,情報技術者と社会,"3,4年","情報化の進展が個人および社会に及ぼす影響を光の部分、影の部分の両面について、特に情報を扱う
プロフェッショナルとしての視点から述べる．また、情報と職業のかかわりおよび情報に関連する職業に従事する者が持つべき勤労観、倫理観などについて述べる。",なし。
基礎工学部,90069,	秋～冬学期,月1,応用数理Ｂ,"3,4年","ベクトル場の微積分からはじめ、古典力学・熱力学・電磁気学の「言語」である微分形式論、
「曲がった空間」での微積分、その図形的カウンターパートである位相幾何、及びこれらの統合理論であるリーマン幾何の初歩を積み上げ式で講義する。微積分の計算が「微分形式」を通して図形の性質と密接に関わることを実地で体験することが目的である。",線形代数と微積分の基礎を理解しておくことが必要である.
基礎工学部,90043,	秋～冬学期,火2,ソフトウェア構成論,"3,4年","大規模のソフトウェアを工業的に生産するという問題について勉強する．ソフトウェア生産技術あるいは
ソフトウェア工学と呼ばれる分野の基礎知識の習得を目的とするものである．この分野は比較的新しく，
現在なお発展途上にある．ここではこの分野の知見のうち，内容として安定したものを整理して講義する．
それと共に，ソフトウェアのコストの考え方についても触れる．","「プログラミングA,B,C,D」，「プログラム設計」の各科目の修得が望ましい．"
基礎工学部,90135,	秋～冬学期,火3,計算機援用工学Ａ,"3,4年","情報通信技術 (ICT: Information and Communication Technology)は、情報ネットワークを介した情報伝達や知識共有を支える重要な技術である。近年、インターネット上に様々なサービスが展開されているが、サービスの品質や性能を支える情報通信技術の開発や、新しいサービスの創出に向けた情報通信技術の研究を、効率良く進めることが望まれている。そのためには、計算機の援用による情報システムの設計技術が不可欠である。

  本講義では、計算機の援用による情報システムの性能評価手法および設計手法を学習する。まず、情報通信技術分野における計算機援用の形態として情報セキュリティを紹介する。特に暗号などの基盤技術からシステムを利用するユーザの観点まで広く説明する。次に、情報システムおよび情報ネットワークそれぞれについて、計算機援用による設計技術を解説する。特にイベント駆動型の計算機シミュレーション手法を深く説明し、それを応用した設計事例を解説する。

  本授業を受講することにより、情報ネットワークの設計能力が習得できる。",「情報ネットワーク」を履修していることが望ましい。
基礎工学部,90071,	秋～冬学期,水2,応用数理D,"3,4年","今日の計算機の発展に伴い、さまざまな現象を数値シミュレーションを用いて解析することは有用な手段の一つになっている。
本講義では、数値計算法を、連立一次方程式の解法、常微分方程式の初期値問題の解法、偏微分方程式の解法等、具体的な題材を通して学ぶ。また、数値解析を行う上での理論的な背景について理解することを目的とする。",解析学及びプログラミングに関する基礎的な知識を持っていることが望ましい。
基礎工学部,90310,	秋～冬学期,木1,統計数学B,"3,4年",統計数学Ｂではデータの統計解析について講義する。線形回帰モデルにおいて最小自乗法により母数の推定を行い、残差解析により回帰モデルの検定について学ぶ。分散分析モデルにおいて主効果の推定・検定を行う。,	「統計数学A」を履修していることが望ましい。
基礎工学部,90210,	秋～冬学期,木4,情報論B,"3,4年",近年、データ通信システム、モバイル・ユビキタス通信システムなどさまざまなコンピュータネットワークが発展し、高度な情報通信サービスの提供を可能にしている。本講義では、これらの情報通信サービスを可能とする基本技術を原理とともに理解することを目的とする。さらに、アナログ通信、ディジタル通信の基本原理について学ぶ。,「情報ネットワーク」とあわせて受講することが望ましい。
基礎工学部,90528,	秋～冬学期,金2,情報科学ゼミナールB,"3,4年",英語文献の読解を通した、特別研究で必要となる論文紹介、研究に関するディスカッション、および、プレゼンテーションの基本の習得,基礎工学部　情報科学科　計算機科学コース・ソフトウェア科学コースの学生であること。